,Giro
VENTA DE COMBUSTIBLES Y ACEITES,1
VENTAS POR CATALOGO DE ROPA Y ZAPATOS,1
VENTA AL POR MENOR DE GASOLINA Y DIESEL,1
SERVICIO Y COMERCIALIZACION DE ALIMENTOS,1
REFACCIONARIA AUTOMOTRIZ,1
ELECTRONICA; EQUIPOS Y ACCESORIOS,1
FAB DE BOMBAS Y REFACCIONES,1
FINANCIERA FINCA,1
COMPRA; VENTA; RENTA DE LONAS Y TOLDOS,1
DULCERIA,1
PROYECTOS,1
FABRICACION DE AZULEJO,1
FABRICACION DE COLCHONES,1
FABRICACIÃ“N Y COMPRA VENTA DE PRODUCTOS ELECTROMECÃNICOS PARA GRÃšAS VIAJERAS Y POLIPASTO,1
RESTURANTE DE MARISCOS,1
FAB. DE JUGUETES DE PLASTICO,1
TRABAJOS DE HERRERIA,1
SERV. PUBLICO DE RADIOTELEFONIA MOVIL TEC. CELULAR,1
EDUCACION SUPERIOR,1
COMERCIO AL POR MAYOR DE MAQUINARIA Y EQUIPO PARA LA CONSTRUCCION,1
FABRICACION DE CERILLOS DE SEGURIDAD,1
MEZCLADORA Y TRANSPORTE EN TRAILERS,1
RECICLADORA DE PAPEL Y CARTON,1
FABRICA DE ENVASES DE PLASTICO ,1
DISTRIBUIDORA DE CARNE ,1
UNIVERSIDAD PRIVADA,1
PLANEACIÃ“N URBANA Y AMBIENTAL,1
TRANSFORMACION DE MARMOL PARA RECUBRIMIENTOS,1
FABRICACION DE TABIQUES Y ARTICULOS DE BARRO,1
DISEÃ‘O GRAFICO Y CONSTRUCCION,1
AGENTES; AJUSTADORAS Y GESTORES DE SEGUROS DE VIDA,1
FABRICACION; DISEÃ‘O Y MANTENIMIENTO DE SISTEMAS,1
FABRICACION DE MATERIAS PRIMAS,1
COMPRA; VENTA DE MATERIALES ELECTRICOS ,1
ADQUISICION DE TARJETAS,1
REST- BAR,1
SERVICIO DE MENSAJERIA Y PAQUETERIA ,1
SERVICIOS DE INVESTIGACION Y PROTECCION DE SEGURIDAD PRTIVADA,1
FAB. DE VELADORAS,1
MEDICAMENTO PARA ANIMALES,1
COMPRA VENTA Y DISTRIBUCION DE PRODUCTOS QUIMICOS A GRANEL,1
FABRICA DE MOBILIARIO URBANO Y RESIDENCIAL,1
ENSEÃ‘ANZA DE COMPUTACION,1
ESCUELA DE INGLES,1
CONSTRUCCION DE INMUEBLES COMERCIALES,1
MATERIAL DE ILUMINACION,1
COMERCIO AL POR MENOR DE TIENDAS DE ABARROTES,1
COMPRA Y VENTA DE QUARTZO,1
COMPRA VENTA DE ABARROTES Y ART. DE FARMACIA Y PROD. POPULARES,1
BIENES RAICES,1
ACADEMIA COMERCIAL PARTICULAR,1
SERVICIOS DE INGENIERÃA CIVIL,1
FABRICACION DE ADOCRETOS,1
INSTALACIONES ELECTRICAS INDUSTRIALES,1
FAB. DE MATERIAL QUIRURGICO; ORTOPEDICO Y MEDICO,1
COMERCIO AL POR MENOR DE MATERIAL PARA LA CONSTRUCCION,1
FABRICACION DE SISTEMAS DE AIRE ACONDICIONADO,1
TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,1
MATERIAS PRIMAS,1
EDUCATIVO ,1
INSTITUTO DE ENSEÃ‘ANZA SECUNDARIA Y PREPARATORIA,1
CAPACITACIÃ“N,1
COMPRA/VENTA Y SERVICIOS DE MANTENIMIENTO DE AUTOS NUEVOS ,1
SERVICIO DE CONTROL AMBIENTAL Y SANEAMIENTO,1
COMPRA VENTA DE PRODUCTOS QUIMICOS PARA EL CAMPO;SEMILLAS,1
CONSTRUCCION Y CONSERVACION DE CARRETERAS ,1
FABRICACION DE AUTOPARTES DE PLÃSTICO ,1
BUFETE JURIDICO,1
ESCUELA DE ESTILISMO ,1
MUEBLES RUSTICOS ,1
FABRICA DE APARATOS CIENTIFICOS,1
FABRICACION DE GELATINAS,1
ESCUELA DEL SECTOR PRIVADO,1
TUBOS Y ACCESORIOS ,1
FARMACIA CON MINISUPER,1
EDUCACIÃ“N PRIVADA PRIMARIA,1
VENTA DE POLIZAS DE SEGUROS DE AUTOMOVIL,1
CERVEZERIA,1
COMERCIALIZACIÃ“N Y SERVICIOS DE EQUIPOS DE MEDICIÃ“N,1
VENTA D EHUEVO,1
APLICACION DE PINTURAS,1
FABRICACION DE EQUIPO E INSTRUMENTAL MEDICO,1
EDUCACION DE DIFERENTES NIVELES ,1
SERVICIO MÃ‰DICO PARTICULAR,1
COMPRA Y VENTA DE PRODUCTOS DE CRISTAL Y ARTICULOS PARA EL HOGAR,1
COMPRA VENTA Y ENSAMBLE DE PERSIANAS Y CORTINEROS,1
COMPRA VENTA Y DISTRIBUCION DE ABARROTES,1
FABRICACION DE PINTURA,1
INSTITUTO,1
COMPRA VENTA DE CEMENTO Y MATERIALES PARA CONSTRUCCION,1
URBANIZADORA Y CONSTRUCCION ,1
FABRICACION DE TANQUES Y TAPAS DE PLASTICO,1
TRANSPORTE PUBLICO FEDERAL DE CARGA ,1
DISTRIBUIDOR DE POLLO,1
RESTAURANT-BAR,1
FABRICACION DE ARTICULOS DE PLASTICO ,1
COMERCIALIZADORA DE PRODUCTOS QUIMICOS,1
SERVICIOS EMPRESARIALES,1
MOBILIARIO Y EQUIPO PARA OFICINA,1
MANTENIMIENTO E INSTALACION DE CLIMAS,1
SERVICIO EDUCATIVO A NIVEL BASICO,1
DECORACION,1
MANEJO DE MATERIALES,1
COMPRA VENTA FABRICACIÃ“N EXPORTACIÃ“N TODO LO RELACIONADO CON EL RAMO MEDICO    ,1
SERVICIOS EDUCATIVOS DE POSGRADO,1
SERVICIOS  EDUCATIVOS,1
SERVICIOS DE TELEVISION POR CABLE,1
SERVICIO DE INGENIERIA,1
PRODUCCION DE MARMOL,1
ARTICULOS DE ASEO,1
DISTRIBUIDORA DE GAS NATURAL,1
MARMOLERIA,1
CONSTRUCCIÃ“N DE DISPOSITIVOS Y ESTRUCTURAS METAL METALICOS,1
SERVICIOS DE ASESORÃA Y CONSULTORÃA,1
GALLETAS Y DULCES,1
RADIOCOMUNICACIONES,1
"SIEMBRA, CULTIVO Y COSECHA DE JITOMATE",1
COMERCIALIZADORA DE VERDURAS Y LEGUMBRES,1
HIGIENICO,1
QUIMICOS ,1
ASESORIA Y CONSULTORIA,1
ESCUELA DE COMPUTACION E INGLES,1
RESTAURANTE DE COMIDA CHINA,1
FERRETERIA Y MATERIALES,1
LABORATORIOS  QUIMICOS ,1
SERVICIOS DE HOSPEDAJE TEMPORAL ,1
SOCIEDAD ANONIMA DE CAPITAL VARIABLE,1
ESCUELA DEL SECTOR PRIVADO QUE COMBINA DIVERSOS NIVELES DE EDUCACION,1
CONSTRUCCION DE SISTEMAS DE RIEGO AGRICOLA,1
EDUCACION PRIVADA SECUNDARIA,1
SERVICIO MEDICO,1
FABRICACION DE CARBUROS DE CALCIO; CALES Y MARMOL,1
FAB. DE PIEZAS INDUSTRIALES,1
INSTALACIONES DE REDES Y CABLEADO ESTRUCTURADO Y TELEFONIA ,1
INSTITUTO DE EDUACCION DE JARDIN DE NIÃ‘OS Y PRIMARIA,1
CASA DE PRESTAMOS,1
FABRICACION DE PLASTICOS,1
SERVICIOS DE CLINICA,1
SERVICIO DE IMPORTACION Y EXPORTACION EN GENERAL ,1
VENTA Y SERVICIO DE AUTOMOVILES NUEVOS,1
PABILOS,1
C/V Y DISTRIBUCION DE GAS ,1
MAQUINARIA; CEMENTO Y CONCRETO,1
INSTALACIONES ELECTRICAS ,1
COMERCIALIZACION DE GELATINA; FLANES Y CONCENTRADOS,1
COMERCIALIZACION DE MANTEQUILLAS; MARGARINAS Y CREMAS Y PRODUCTOS PARA LA PANIFICACION,1
MANUFACTURA DE MUEBLES,1
DISEÃ‘O; DESARROLLO Y MANUFACTURA DE EQUIPO ELECTRONICO E INDUSTRIAL,1
TRANSPORTE DE PERSONAL,1
EDUCACION A NIVEL SUPERIOR,1
DISTRIBUCION DE REFACCIONES AUTOMOTRICES AL MAYOREO,1
COMPRA VENTA Y MANUFACTURA DE PRODUCTOS PARA LA INDUSTRIA TEXTIL,1
HOTEL Y RESTAURANTE,1
COMPRA VENTA DE FIERRO,1
FABRICACION DE MAQUINARIA AGRICOLA,1
VENTA DE MATERIAL DIDACTICO Y MOBILIARIO ESCOLAR,1
COMPRA VENTA DE PRODUCTOS DE CIRSTALERIA Y ARTICULOS PARA EL HOGAR,1
ESCUELA PARTICULAR DE NIVEL SUPERIOR,1
FABRICACION DE CALCETIN Y MEDIAS,1
FABRICACIÃ“N Y ENSAMBLE DE RELOJES Y SUS PARTES,1
COMERCIALIZACION DE CARNE,1
FABRICA DE ETIQUETAS,1
SERVICIOS DIGITALES ,1
TRANSPORTES DE VALORES,1
CORTE;PULIDO Y LAMINADO DE MARMOL,1
SERVICIO DE ALQUILER DE TERRENOS,1
VENTA DE PRODUCTOSW FARMACEUTICOS Y PERFUMERIA ,1
VENTA DE TELAS ,1
FABRICA DE REJILLAS INDUSTRIALES ,1
PERIODICO SINTESIS ,1
AUTOMOTIZACION Y ROBOTICA ,1
HOSPITAL Y CONSULTAS,1
FILTROS,1
SERVICIOS DE CONSULTORIA EN ADMINISTRACION ,1
COMPRA VENTA DE FIERRO;ACEROS;PERFILES Y TUBULARES,1
DISEÃ‘O DE INTERIORES ; ASESORIA Y CONSTRUCCION DE OBRA CIVIL,1
COMPRA VENTA DE ARTICULOS MILITARES,1
CONFECCION DE TODA CLASE DE PRENDAS DE VESTIR,1
COMERCIO AL POR MAYOR DE MATERIALES,1
SERVICIOS DE CONSULTORIA Y DE SEGURIDAD,1
DISEÃ‘O; DESARROLLO Y CONSTRUCCION DE PROTOTIPOS AUTOMOTRICES,1
DISTRIBUIDORA DE PRODUCTOS LÃCTEOS; JUGOS Y DERIVADOS,1
FABRICACIÃ“N DE TELAS,1
COMPRA VENTA DE DESECHOS METÃLICOS ,1
SERVICIO DE PROMOTORIA DE SEGUROS,1
SERVICIO DE TALLER MECANICO,1
FABRICACION DE ESTRUCTURAS ( RACKS ),1
PRODUCCION Y VENTA DE CONDIMENTOS,1
INDUSTRIALIZADORA DE MARMOL,1
FABRICACIÃ“N DE PRODUCTOS PARA CAFETERÃA ,1
EDITORIAL; VENTA Y DISTRIBUCION DE PERIODICO,1
CONSULTORIA ,1
COMUNICACION TELEFONICA E INTERNET,1
AUTOS NUEVOS,1
DISTRIBUIDORA E IMPORTADORA DE AUTOPARTES ,1
PRODUCCIÃ“N Y VENTA DE SERVICIOS Y ALIMENTOS ,1
INSTITUCION DE ENSEÃ‘ANZA SECUNDARIA Y PREPARATORIA,1
VEBNTA DE ARTICULOS DE FERRETERIA,1
COMPRA VENTA DE ACERO Y FIERRO PARA LA CONSTRUCCION,1
EQUIPO DE LABORATORIO,1
COMERCIO AL POR MAYOR DE PAPELERIA,1
C/V DE REFACCIONES AUTOMOTRICES,1
VENTA DE PRODUCTOS PARA REPOSTERIA,1
FABRICACIÃ“N Y VENTA DE PREFABRICADOS PARA LA CONSTRUCCIÃ“N ,1
REPARACION; MANTENIMIENTO Y DISTRIBUIDORA DE EQUIPO ELECTRICO,1
FABRICACION DE TODA CLASE DE PRODUCTOS TEXTILES,1
SOLUCIONES EN SALUD Y NUTRICION ANIMAL,1
FABRICACIÃ“N DE TELA NO TEJIDA,1
PIEZAS METALICAS,1
PRESTACIÃ“N DE SERVICIOS DE CONTROL DE CALIDAD DE OBRA PÃšBLICA; SUPERVISIÃ“N DE OBRAS Y PROYECTOS,1
INSTITUCION DE EDUCACION SUPERIOR,1
FABRICACION PRODUCTOS QUIMICOS PARA LA INDUSTRIA ELECTRONICA,1
COMPRA VENTA DE PRODUCTOS DE CRISTAL Y ART. PARA EL HOGAR,1
DISEÃ‘O; FABRICACION; MONTAJE; MANTENIMIENTO Y VENTA DE MATERIAL PREFABRICADO MARCA TERNIUM MULTYPANEL Y SUMINISTRO E INSTALACION DE REJA; MALLA; MARCA DE ACERO,1
SERVICIO DE DISEÃ‘O Y DECORACION,1
MAQUILA Y TRANSFORMACION DE PLASTICO,1
COMERCIO AL POR MENOR DE PAPELERIA,1
FABRICACION DE ROPA DE UNIFORMES,1
COMPRA VENTA DE PAPEL PARA ARTES GRAFICAS,1
PREPARACIÃ“N Y VENTA DE ALIMENTOS EN RESTAURANTE ,1
SERVICIOS PARA TELECOMUNICACIONES,1
COMPRA; VENTA DE MATERIAL ELECTRICO E ILUMINACION ,1
PRESTACION DE SERVICIOS INTEGRALES DE APLICACIONES ADMINISTRATIVOS,1
FAB. DE TODA CLASE DE CARTON Y SUS DERIVADOS,1
FABRICACION DE MATERIAS PRIMAS ALIMENTICIAS,1
GENERACION Y TRANSMISION DE ENERGIA ELECTRICA,1
HERRAMIENTAS ALEMANAS,1
FABRICACION. DE GRAVA Y OTRAS PIEDRAS,1
enseÃ±anza educativa,1
INSTITUTO DE ENSEÃ‘ANZA DE PREESCOLAR Y PRIMARIA,1
MATERIAL PARA CONSTRUCCION,1
REP. MATERIAL MEDICO QUIRURGICO Y ORTOPEDICO,1
VENTA AL POR MENOR DE PINTURA,1
HOTEL  ,1
INST. Y REP. DE REFRACTARIOS INDUSTRIALES,1
MADERA,1
PRODUCC Y COMERC. DE PROD.ALIMENTICIOS NUTRICIONAL,1
SERVICIOS DE CONTADORES AUDITORES Y ASUNTOS FISCALES,1
SERVICIO DE MANTENIMIENTO INDUSTRIAL,1
PROCESADORA DE MARMOL,1
PRESENTACION DE SERVICIOS DE COMUNICACION TELEFONICA E INTERNET,1
PRODUCCION Y VENTA DE SERVICIOS Y ALIMENTOS,1
COMERCIO AL POR MAYOR DE MATERIALES METÃLICOS ,1
VENTA DE GASES INDUSTRIALES,1
VENTA Y RENTA DE EQUIPO MEDICO,1
FABRUICACION DE PRODUCTOS DE CARDIOLOGIA,1
FAB. DE MOBILIARIO URBANO Y RESIDENCIAL FUNDIDO,1
RENTA DE TRANSPORTES TURISTICOS Y DE CARGA,1
CONFECCION DE ARTICULOS CON MATERIALES TEXTILES,1
VENTA DE ARTICULOS DE FERRETERIA EN GENERAL,1
TRATAMIENTO DE AGUA,1
PROMOCION Y DESARROLLO DE VIVIENDA,1
RENTAS DE AUTOBUSES TURISTICOS,1
INSTALACIONES ESPECIALES,1
PREPARACION Y VENTA DE SERVICIO ALIMENTOS,1
C/V DE ART. DE FERRETERIA INDUSTRIAL,1
PREPARACION Y SERVICIO DE CAFETERIA Y REPOSTERIA,1
VENTA DE EQUIPO DE RIEGO,1
FABRICACIÃ“N Y COMPRAVENTA DE TELAS Y BLANCOS,1
FABRICACIÃ“N DE TUBOS Y POSTES DE HIERRO Y ACERO DE MATERIAL COMPRADO ,1
PROVEEDORA DE EQUIPOS DE PROTECCION PERSONAL,1
 VENTA DE PRODUCTOS PARA LA SALUD,1
PERFORACION DE POZOS Y OBRAS DE AGUA POTABLE; RENTA DE MAQUINARIA; CONSTRUCCIONES DE CARRETERAS Y CAMINOS,1
SERVICIO DE GALVANIZADO EN PIEZAS METALICAS,1
FAB. DE MUEBLES,1
"ESCUELA DEL SECTOR PRIVADO, DEDICADO A LA ENSEÃ‘ANZA DE IDIOMAS",1
FABRICACION DE DISPOSITIVOS DE METAL,1
FABRICACION DE AUTOPARTES,1
COMPRA - VENTA DE PRODUCTOS DE BELLEZA,1
ESCUELA DE ESTILISMO,1
CONSULTORIA CONTABLE Y FISCAL,1
NOVEDADES ,1
COMERCIO DE DESECHOS DE PAPEL Y CARTON,1
CONTROL DE DATOS,1
COMERCIO AL POR MENOR DE TELEFONIA CELULAR,1
PUBLICIDAD,1
SERVICIOS DE HOTELERIA,1
PRODUCCION DE DESTILADO DE AGAVE ARTESANAL,1
FABRICACION DE PIEZAS DE ACERO,1
PRODUCTOS NATURISTAS,1
INSTRUMENTOS DE COCINA,1
RENTA Y VENTA DE EQUIPO AUDIOVISUAL Y DE COMPUTO ,1
EDUCSTIVO,1
MUEBLES RUSTICOS,1
PRESENTACION DE SERVICIOS DE COMUNICACION TELEFONICA E INTERNET DE BANDA ANCHA,1
FABRICA; COMPRA Y VENTA DE VELAS Y VELADORAS,1
HILADO; TEÃ‘IDO,1
FAB. DE MUEBLES RUSTICOS,1
FAB. DE PRODUCTOS DIAMANTADOS,1
FABRICACION DE MOLDES EN GENERAL,1
SERVICIO DE VERIFICACION DE AUTOS,1
SERVICIO DE INGENIERIA Y CONSTRUCCION,1
VENTA  DE CONDIMENTOS ALIMENTICIOS ,1
POTENCIAR LA COMPETITIVIDAD Y EL DESARROLLO INDUSTRIAL EN LAS EMPRESAS DE LOS SECTORES DEL TRANSPORTE; LA ENERGIA Y EN LA INDUSTRIA EN GENERAL,1
INSTRUMENTOS DE MEDICION ,1
LLANTERA ,1
PREPARACION Y SERVICIO DE COMIDA,1
VENTA DE ACEROS,1
CONSTRUCCION OBRAS DE ENERGIA ELECTRICA,1
CONFECCION DE ROPA SOBRE MEDIDA,1
MAQUINADOS INDUSTRIALES; DISEÃ‘O; FABRICACION DE ESTRUCTURAS METALICAS,1
MONTACARGAS Y PATINESR,1
CLINICA DE MATERNIDAD,1
CALDERAS,1
TRANSFORMACION DE MARMOL,1
SERVICIO DE AFINACION Y BALANCEO ,1
MANTENIMIENTO AUTOMOTRIZ,1
ESTACION GASOLINERA,1
COLOCACION DE ALARMAS,1
SERVICIOS DE HOTEL ,1
TAQUERIA,1
Estudios; proyectos asesorÃ­as en el ramo de la construcciÃ³n,1
MARISQUERIA,1
FORMACION PROFESIONAL EDUCATIVA,1
MONITOREO DE EQUIPO DE SEGURIDAD,1
HOSPITAL MATERNO INFANTIL,1
PIZZERIA ,1
TUBOS; CONEXIONES Y VALVULAS,1
SERV. DE TECNOLOGIAS DE INFORMACION ,1
FABRICACION Y VENTA  DE MATERIAL ELECTRICO E HIDRAULICO,1
CENTRO ESCOLAR PRIVADO,1
FABRICA DE BLOQUES DE CONCRETO ,1
SERVICIOS INMOBILIARIOS,1
COMPRA;VENTA Y SERVICIO DE AUTOMOVILES NUEVOS Y USADOS,1
FABRICA DE PRODUCTOS NATURISTAS ,1
SERVICIO DE MONTACARGAS PARA MAQUINARIA ,1
MATERIALES PARA CONSTRUCCION,1
ELABORACIÃ“N Y VENTA DE POLIESTIRENO,1
BOUTIQUE,1
DISTRIBUIDORA DE EQUIPO MEDICO,1
FAB. DE CARTON CORRUGADO,1
TALLER DE HOJALATERIA Y MECANICA,1
FABRICACIÃ“N; RENTA Y VENTA DE ANDAMIOS PARA LA CONSTRUCCIÃ“N EN GENERAL,1
OPTICA,1
FABRICA DE DEPOSITOS Y TROQUELES ,1
SERVICIO DE PURIFICACION DE AGUA,1
SERVICIO DE HOSPEDAJE,1
FABRICACION DE AROMAS Y SABORES,1
SERVICIO DE TEXTILERA- MAQUILADORA,1
FABRICA DE PISOS DE CERAMICA Y AZULEJOS,1
REPARACIONES DE BOMBAS Y MOTORES ,1
FUNDIDOS Y COMPONENTES ,1
SERVICIOS DE CONSTRUCCION,1
FABRICACION DE HIELO Y AGUA ELECTROPURIFICADA,1
ELABORA BOTELLAS; CHAROLAS; VASOS DE PLASTICO,1
REVELADO DE ROLLOS FOTOGRAFICOS.,1
FAB. DE TORNILLOS,1
TALAVERA,1
COMERCIO AL POR MAYOR DE MATERIALES PARA LA CONSTRUCCIÃ“N EXCEPTO MADERA,1
CASA DE EMPEÃ‘O,1
COMPRA VENTA DE TORNILLOS Y SIMILARES,1
RESTAURANTE  BAR,1
DISTRIBUCION Y VENTA DE PERIODICO,1
FABRICA DE ALIMENTOS BALANCEADOS PARA ANIMALES ,1
APARATOS AUDITIVOS,1
SERVICIOS EDUCATIVOS A NIVEL LICENCIATURA,1
EDUCACION PREESCOLAR; PRIMARIA Y SECUNDARIA ,1
FABRICA DE ENVOLTURAS,1
FABRICACIÃ“N DE HILO PARA COSER Y BORDAR,1
FAB. DE ESTRUCTURAS METALICAS,1
FAB. Y COLOCACION DE PERSIANAS,1
FABRICACION DE PRODUCTOS AGRICOLAS,1
SERV. PRIVADOS DE HOSPITALIZACION,1
COMERCIALIZADORA DE CREMAS; MANTEQUILLAS  Y MARGARINAS,1
VENTA DE PRODUCTOS PARA BEBE,1
DISEÃ‘O Y CONSTRUCCION,1
INSTALACIONDE ALARMAS DE SEGURIDAD,1
REPARACION DE CLIMAS Y DE REFRIGERACION ,1
INSTITUCIÃ“N DE ENSEÃ‘ANZA PRIVADA,1
BOUTIQUE ,1
MAQUILA DE ARTÃCULOS VARIOS PARA LA LIMPIEZA,1
INSTALACIONES ELECTRICAS,1
FABRICACIÃ“N DE PRODUCTOS METÃLICOS EXCEPTO MAQUINARIA ,1
PREPARACION Y SERVICIO DE ALIMENTOS EN RESTAURANTE ,1
CONFECCION DE CALCETINES,1
COMPRESORA EN AIRE ,1
FABRICA DE ETIQUETAS ,1
COMPRA Y VENTA DE MATERIAS PRIMAS,1
ARTICULOS PROMOCIONALES Y PUBLICITARIOS,1
RESTUARANTE - BAR,1
COMPRA VENTA DE ABARROTES Y ARTICULOS DE FARMACIA,1
AGENCIA ADUANAL,1
MANTENIMIENTO ,1
SUPER MERCADO,1
COMPRA VENTA Y ARRENDAMIENTO DE BIENES MUEBLES E INMUEBLES,1
LAVADO DE AUTOS,1
ESCUELA DE EDUCACION SUPERIOR DEL SECTOR PRIVADO,1
VENTA DE ROPA PARA DAMA,1
FABRICACION  DE PASTA DE MOLE,1
VENTA AL POR MENOR DE PINTURA ,1
CONSTRUCION,1
VENTA DE CERVEZA,1
VENTA DE TODO TIPO DE MATERIALES PARA LA CONSTRUCCION,1
EQUIPOS DE MEDISION,1
PRODUCTOS Y SERVICIOS HOSPITALARIOS,1
COMPRA VENTA DE PRODUCTOS,1
COMPRA VENTA DE ABARROTES; SEMILLAS Y CHILES SECOS,1
CASA DE CAMBIO,1
ADMINISTRACION DE EMPRESAS,1
HOTEL RESTAURANTE,1
INTEGRACION DE TABLEROS ELECTRICOS,1
INVESTIGACION DE MERCADOS,1
FABRICACION DE ENVASES DE PLASTICO EN GENERAL,1
FABRICACION DE PINTURAS; BARNICES; LACAS Y SIMILAR,1
ESCUELA DE EDUCACION MEDIA SUPERIOR,1
VENTA DE AUTOBUSES,1
SERVICIO DE ALOJAMIENTO TEMPORAL Y CON RESTAURANT ,1
C/V DE MEDICINA,1
CONSULTORÃA EN INGENIERÃA Y ELABORACIÃ“N DE PROYECTOS ESTRUCTURALES,1
FABRICACION DE PASTAS ALIMENTICIAS,1
C/V DE PRODUCTOS DE LIMPIEZA,1
LABORATORIO DE ANALISIS CLINICOS,1
SERVICIO DE GRUAS,1
SERVICIO DE CONSULTORIA Y ADMINISTRACION,1
FABRICA DE PRODUCTOS QUIMICOS ,1
ELABORACION Y VENTA DE MEDICAMENTOS Y SERVIOS DE LABORATORIOS ,1
MOTEL RESTAURANTE-BAR,1
FABRICACION DE ESTANTERIA Y MUEBLES METALICOS,1
COMPRA VENTA DE ARTICULOS DE FERRETERIA; TLAPALERIA Y MATERIALES PARA CONSTRUCCION ,1
COMPRA VENTA DE ACCESORIOS Y REFACCIONES AUTOMOTRICES,1
FABRICA DE PIEZAS METALICAS,1
FABRICACION DE PAVIMENTACION Y TECHADO ASFALTICO,1
COMPRA VENTA DE PRODUCTOS DE CRISTALERIA Y ARTICULOS PARA EL HOGAR,1
SERVICIOS DE VERIFICACION Y CALIBRACION,1
INMOBILIARIA,1
OTRAS CONSTRUCCIONES DE INGENIERIA CIVIL,1
CONFECCION DE COBERTURA EN ASIENTOS DE AUTOPARTES,1
PRESTACION DE SERVICIOS,1
FABRICACION DE ACEITES  LUBRICANTES ,1
GASOLINERIA,1
COMPRA VENTA Y SERVICIO DE COPIADORAS E IMPRESORAS,1
EDUCACION PARTICULAR PRIVADA,1
AUTOMATIZACION Y ROBOTICA INSTALACION,1
PRODUCTOS DE PARAFINA,1
COMPRA VENTA Y FABRICACION DE EQUIPOS PARA MEJORA DEL MEDIO AMBIENTE,1
CONSTRUCTORA,1
SERVICIOS DE SEGUROS,1
CONSULTORÃA; SUPERVISIÃ“N DE OBRA E INGENIERÃA DE COSTOS Y CONSTRUCCIÃ“N,1
SERVICIO DE CONSULTORIA,1
FABRICA DE CINTAS Y ETIQUETAS ADHESIVAS,1
SERVICIO DE MANTENIMIENTO TELEFONICO,1
VENTA DE CARNES FRIAS ; AHUMADOS; LACTEOS Y DERIVADOS,1
VENTA DE SALCHICHONERIA,1
SERVICIO ESCOLAR,1
FABRICACION DE VIDRIOS Y CRISTALES ,1
SERV. PUBLICO DE RADIOTELEFONIA MOVIL Y CON CUALQUIER CLASE DE TECNOLOGIA,1
FAB. Y ARMADO DE INTERRUPTORES ELECTRICOS,1
COMPRA VENTA DE PRODUCTOS MINERALES Y SERVICIO DE LABORATORIO,1
MANTO. E INSTALACIONES ELECTRICAS,1
FABRICACIÃ“N Y EXPORTACIÃ“N DE MUEBLE RUSTICO,1
FABRICACION DE GLOBOS,1
REHABILITACION DE AREAS VERDES,1
TALLER DE ELECTROMECANICOS,1
TELECOMUNICACIONES,1
ASESORIA ,1
PERFORACION DE POZOS Y VENTA DE BOMBAS ,1
TRANSPORTES,1
SERVICIOS DE ALOJAMIENTO TEMPORAL; BEBIDAS Y ALIMENTOS,1
SERVICIO MEDICO ,1
C/V AL MAYOREO DE MEZCLILLA,1
PRODUCTOS PARA DENTISTAS,1
SUPERVISIÃ“N DE CONSTRUCCIÃ“N DE OBRAS; ESTUDIOS; PROYECTOS Y ASESORÃA,1
DISTRIBUCION DE CALZADO ,1
COMPRA VENTA DE EQUIPO DE COMPUTO ,1
FABRICACIÃ“N DE BLOCK; VIGUETA Y BOVEDILLA,1
LACTOPRODUCTOS,1
VENTA AL POR MENOR DE ABARROTES,1
ELABORACION DE PRODUCTOS QUIMICOS Y DE LIMPIEZA,1
FABRICACION DE INSECTICIDAS,1
FABRICACION DE PISOS Y AZULEJOS,1
FINANCIAMIENTO,1
C/V DE MATERIAL ELECTRICO E ILUMINACION,1
COMPRA VENTA DE GASOLINA Y DIESEL,1
REPARACION DE COMPRESORES DE AIRE,1
CROMADO DE BARRAS DE AUTOPARTES,1
FAB DE MUEBLES TUBULARES Y APLICACION DE PINTURA,1
DISTRIBUIDOR DE REFRIGERADORES,1
MATERIALES CONCRETOS,1
SEGUROS,1
EMPAQUES Y EMBALAJE DE MADERA,1
PREPARACIÃ“N E HILADO DE FIBRAS BLANDAS,1
MANTENIMIENTO DE EQUIPO DE USO GENERAL,1
ESCUELA PRIVADA,1
LABORATORIO DE ANÃLISIS Y DIAGNÃ“STICO,1
COMERCIALIZACION DE EQUIPO ESPECIALIZADO,1
COMPRA VENTA Y DISTRIBUCION DE EQUIPO MEDICO ESTERILIZADO,1
LABORATORIO DE ANALISIS CLINICOS DE DIAGNOSTICO,1
COMPRA VENTA DE PRODUCTOS DE CRISTAL  Y ARTICULOS PARA EL HOGAR,1
FABRICACIÃ“N Y VENTA DE ARTÃCULOS DE PLÃSTICO,1
FABRICACION DE ETIQUETAS ADHERIBLES,1
PROMOCIONAR GRUPOS MMUSICALES / VENTA DE CDS,1
FABRICA DE QUIMICOS,1
VENTA DE MEDICAMENTOS,1
FABRICACION MAQUINARIA MECANICA,1
FABRICACION DE SISTEMAS DE AIRE ACONDICIONADO ,1
FABRICACIÃ“N DE ENVASES PLÃSTICOS PARA LABORATORIO Y PARA TOMA DE MUESTRAS MEDICAS,1
LABORATORIO,1
TIENDA DE AUTOSERVICIO CON VENTA DE BEBIDAS ALCOHÃ“LICAS ,1
SERVICIO DE PUBLICIDAD,1
LITOGRAFIA; IMPRENTA Y ENCUADERNACION,1
PRESENTACION DE SERVICIOS DE COMUNICACION TELEFONICA,1
ARTICULOS PARA TAPICERIAS ,1
